epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,164.835,1.89738,2.2043,1.50959,0.49015,0.16667,0.19307,0.08953,2.85388,3.07426,1.99512,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
32,168.743,1.92544,2.24258,1.48207,0.49015,0.16667,0.19307,0.08953,2.85388,3.07426,1.99512,0.00362916,0.00120972,0.00362916,0.00120972,0.00362916,0.00120972,0.00362916,0.00120972
33,171.147,1.91174,2.12874,1.40916,0.49015,0.16667,0.19307,0.08953,2.85388,3.07426,1.99512,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
34,174.319,2.42735,2.59804,1.71001,0.67291,0.31382,0.38462,0.20027,2.85766,2.52509,2.02162,0.00358672,0.00119557,0.00358672,0.00119557,0.00358672,0.00119557,0.00358672,0.00119557
35,179.863,2.05893,1.92137,1.57139,0.67291,0.31382,0.38462,0.20027,2.85766,2.52509,2.02162,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
36,187.173,1.96625,2.39154,1.65563,0.67291,0.31382,0.38462,0.20027,2.85766,2.52509,2.02162,0.00354428,0.00118143,0.00354428,0.00118143,0.00354428,0.00118143,0.00354428,0.00118143
37,191.372,2.28092,2.25221,1.62138,0.67291,0.31382,0.38462,0.20027,2.85766,2.52509,2.02162,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
38,196.438,1.98073,2.05334,1.50866,0.67143,0.5,0.36659,0.22003,2.47096,2.29426,1.75113,0.00350184,0.00116728,0.00350184,0.00116728,0.00350184,0.00116728,0.00350184,0.00116728
39,208.803,1.96594,1.95419,1.49878,0.67143,0.5,0.36659,0.22003,2.47096,2.29426,1.75113,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
40,220.138,1.69511,1.7482,1.44539,0.67143,0.5,0.36659,0.22003,2.47096,2.29426,1.75113,0.00345939,0.00115313,0.00345939,0.00115313,0.00345939,0.00115313,0.00345939,0.00115313
41,226.572,1.98375,1.95452,1.47491,0.67143,0.5,0.36659,0.22003,2.47096,2.29426,1.75113,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
42,231.587,1.77947,1.83489,1.44547,0.74338,0.53257,0.44594,0.26712,2.56443,2.2562,1.74615,0.00341695,0.00113898,0.00341695,0.00113898,0.00341695,0.00113898,0.00341695,0.00113898
43,237.457,1.71985,1.8656,1.30011,0.74338,0.53257,0.44594,0.26712,2.56443,2.2562,1.74615,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
44,243.597,1.63495,1.87938,1.37936,0.74338,0.53257,0.44594,0.26712,2.56443,2.2562,1.74615,0.00337451,0.00112484,0.00337451,0.00112484,0.00337451,0.00112484,0.00337451,0.00112484
45,254.806,1.76945,2.29464,1.36645,0.74338,0.53257,0.44594,0.26712,2.56443,2.2562,1.74615,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
46,267.324,1.85574,1.91893,1.44886,0.58321,0.44444,0.50537,0.33336,2.34833,2.11656,1.59816,0.00333207,0.00111069,0.00333207,0.00111069,0.00333207,0.00111069,0.00333207,0.00111069
47,279.387,2.12117,1.98548,1.62909,0.58321,0.44444,0.50537,0.33336,2.34833,2.11656,1.59816,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
48,282.925,1.56888,1.56141,1.22468,0.58321,0.44444,0.50537,0.33336,2.34833,2.11656,1.59816,0.00328963,0.00109654,0.00328963,0.00109654,0.00328963,0.00109654,0.00328963,0.00109654
49,286.918,1.57066,1.60763,1.3196,0.58321,0.44444,0.50537,0.33336,2.34833,2.11656,1.59816,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
